variant,fold_id,subject_id,method,n_windows,accuracy,macro_f1,active_macro_f1,nll,override_free_pred_rate
assist_tail_shuffled_only,2,S027,standardized_logreg_smoothed,4200,0.5,0.0606060606060606,0.0,1.8450698071868277,0.5
assist_tail_shuffled_only,2,S033,standardized_logreg_smoothed,4200,0.5,0.0606060606060606,0.0,1.8454324844881662,0.5
assist_tail_shuffled_only,2,S035,standardized_logreg_smoothed,4200,0.5,0.0606060606060606,0.0,1.8462891802803885,0.5
assist_tail_shuffled_only,2,S040,standardized_logreg_smoothed,4200,0.5,0.0606060606060606,0.0,1.845527777655983,0.5
assist_tail_shuffled_only,2,S103,standardized_logreg_smoothed,4200,0.5,0.0606060606060606,0.0,1.8455233056502132,0.5
assist_tail_shuffled_only,2,S105,standardized_logreg_smoothed,4200,0.5,0.0606060606060606,0.0,1.8453556851674278,0.5
assist_tail_shuffled_only,2,S112,standardized_logreg_smoothed,4200,0.5,0.0606060606060606,0.0,1.8451339592032932,0.5
assist_tail_shuffled_only,2,S113,standardized_logreg_smoothed,4200,0.5,0.0606060606060606,0.0,1.8451177488667876,0.5
full_assist,3,S016,standardized_logreg_smoothed,4200,0.7116666666666667,0.6480164453528722,0.637336989223542,0.7651886819887689,0.28833333333333333
full_assist,3,S023,standardized_logreg_smoothed,4200,0.7359523809523809,0.6355258090597325,0.5820427426671069,0.7310743973394106,0.26404761904761903
full_assist,3,S028,standardized_logreg_smoothed,4200,0.7516666666666667,0.6773335446770891,0.6256880170013072,0.7237776706142659,0.24833333333333332
full_assist,3,S031,standardized_logreg_smoothed,4200,0.7407142857142858,0.6861941019722276,0.6727005887382629,0.722268544878071,0.2592857142857143
full_assist,3,S037,standardized_logreg_smoothed,4200,0.7714285714285715,0.6969254633404324,0.6495160897759639,0.6573460949727858,0.22857142857142856
full_assist,3,S038,standardized_logreg_smoothed,4200,0.6335714285714286,0.524665593731048,0.5056263894653958,0.8758366980180698,0.36642857142857144
full_assist,3,S109,standardized_logreg_smoothed,4200,0.7585714285714286,0.6752528965642474,0.6247932446574155,0.6769955228876497,0.24142857142857144
full_assist,3,S110,standardized_logreg_smoothed,4200,0.5919047619047619,0.5035033211716204,0.5226921247425452,1.029480706663938,0.4080952380952381
full_assist,3,S114,standardized_logreg_smoothed,4200,0.7626190476190476,0.6866909876026024,0.631972867956379,0.704809551776736,0.2373809523809524
user_emg_only,3,S016,standardized_logreg_smoothed,4200,0.4990476190476191,0.10466204737415294,0.045576584419559626,1.7257934589407087,0.5009523809523809
user_emg_only,3,S023,standardized_logreg_smoothed,4200,0.5026190476190476,0.08698699253554909,0.026838509534518287,1.679803616724008,0.49738095238095237
user_emg_only,3,S028,standardized_logreg_smoothed,4200,0.5002380952380953,0.06235194695380504,0.001711315216209578,1.7211166836310834,0.49976190476190474
user_emg_only,3,S031,standardized_logreg_smoothed,4200,0.5033333333333333,0.07332775125270158,0.01245099839955696,1.633431565861229,0.49666666666666665
user_emg_only,3,S037,standardized_logreg_smoothed,4200,0.49952380952380954,0.07283045287469662,0.012596129264062682,1.7725838623433146,0.5004761904761905
user_emg_only,3,S038,standardized_logreg_smoothed,4200,0.49952380952380954,0.07484473845559457,0.014512411718570766,1.7487725995992658,0.5004761904761905
user_emg_only,3,S109,standardized_logreg_smoothed,4200,0.4990476190476191,0.06464315159967333,0.004228329809725159,1.7026572384554037,0.5009523809523809
user_emg_only,3,S110,standardized_logreg_smoothed,4200,0.4683333333333333,0.09699772432476082,0.037334529909769626,1.8751352914695802,0.5316666666666666
user_emg_only,3,S114,standardized_logreg_smoothed,4200,0.5083333333333333,0.08542169355608127,0.02350855548035863,1.7036913607454087,0.49166666666666664
assist_prefix_only,3,S016,standardized_logreg_smoothed,4200,0.5064285714285715,0.1259471151593841,0.06904704285485422,1.6816610349884784,0.49357142857142855
assist_prefix_only,3,S023,standardized_logreg_smoothed,4200,0.5140476190476191,0.11361169127712839,0.05283170998781413,1.682806174038236,0.48595238095238097
assist_prefix_only,3,S028,standardized_logreg_smoothed,4200,0.5002380952380953,0.06148293966828752,0.0008576329331046312,1.712424651815206,0.49976190476190474
assist_prefix_only,3,S031,standardized_logreg_smoothed,4200,0.5076190476190476,0.08663527768939717,0.02533807826177694,1.6364090065796937,0.49238095238095236
assist_prefix_only,3,S037,standardized_logreg_smoothed,4200,0.5023809523809524,0.0858028281602778,0.026252717239841704,1.7234587317758043,0.4976190476190476
assist_prefix_only,3,S038,standardized_logreg_smoothed,4200,0.5009523809523809,0.0841051054246761,0.02396232900529652,1.7095316262657647,0.4990476190476191
assist_prefix_only,3,S109,standardized_logreg_smoothed,4200,0.4992857142857143,0.06321526872910582,0.002572898799313894,1.7059442434790943,0.5007142857142857
assist_prefix_only,3,S110,standardized_logreg_smoothed,4200,0.4911904761904762,0.1151785452692323,0.05084147954694432,1.8781435005496532,0.5088095238095238
assist_prefix_only,3,S114,standardized_logreg_smoothed,4200,0.5045238095238095,0.0790541825790498,0.018052869116698903,1.7301443260525242,0.49547619047619046
assist_tail_only,3,S016,standardized_logreg_smoothed,4200,0.6511904761904762,0.5437799518790556,0.5221784420646477,0.8473388580403729,0.3488095238095238
assist_tail_only,3,S023,standardized_logreg_smoothed,4200,0.7092857142857143,0.6009512670598195,0.5504342823634596,0.7848507457126659,0.2907142857142857
assist_tail_only,3,S028,standardized_logreg_smoothed,4200,0.689047619047619,0.5570587361517899,0.4991293811808287,0.7756170297480718,0.310952380952381
assist_tail_only,3,S031,standardized_logreg_smoothed,4200,0.6630952380952381,0.557242358218905,0.5364972430357366,0.8191020800919657,0.33690476190476193
assist_tail_only,3,S037,standardized_logreg_smoothed,4200,0.7516666666666667,0.6554960527111144,0.5958890175186857,0.6747440868303902,0.24833333333333332
