audit,split,fold_id,condition,policy,accuracy,balanced_accuracy,macro_f1,active_macro_f1,risk_coverage_auc,mean_cdc,expected_cdc,mean_cdc_all,candidate_cdc_all,intervention_rate,changed_vs_user_rate,n_test,tau,threshold,budget_type,budget,dev_budget_value,test_budget_value,test_budget_gap
context_degradation,amputee_loso,9,uniform_mix_lambda=0.50,CD-margin tau=0.50,0.39261904761904765,0.6187878787878788,0.44583066295681933,0.6202622075786178,0.5906343541824863,0.06455491671495052,0.05826849744437558,0.05826849744437558,0.06085021909629951,0.9026190476190477,0.9026190476190477,4200,0.5,,,,,,
context_degradation,amputee_loso,9,uniform_mix_lambda=0.50,CD-margin tau=1.00,0.39261904761904765,0.6187878787878788,0.4463469307434025,0.6210431705073517,0.5908451364905799,0.06706138026881604,0.06085021909629951,0.06085021909629951,0.06085021909629951,0.9073809523809524,0.9073809523809524,4200,1.0,,,,,,
context_degradation,amputee_loso,9,uniform_mix_lambda=0.75,AssistOnly,0.39261904761904765,0.6187878787878788,0.4463469307434025,0.6210431705073517,0.58492909741711,0.06706138026881604,0.06085021909629951,0.06085021909629951,0.06085021909629951,0.9073809523809524,0.9073809523809524,4200,,,,,,,
context_degradation,amputee_loso,9,uniform_mix_lambda=0.75,CD-margin tau=0.00,0.15857142857142856,0.0864935064935065,0.06842247829520108,0.048858553449170256,0.9021535692403981,0.0,0.0,0.0,0.06085021909629951,0.0,0.0,4200,0.0,,,,,,
context_degradation,amputee_loso,9,uniform_mix_lambda=0.75,CD-margin tau=0.01,0.1838095238095238,0.18225108225108225,0.13508413647047368,0.1543346219969676,0.821463860990939,0.0055253896828871595,0.0011945366266813192,0.0011945366266813192,0.06085021909629951,0.21619047619047618,0.21619047619047618,4200,0.01,,,,,,
context_degradation,amputee_loso,9,uniform_mix_lambda=0.75,CD-margin tau=0.02,0.22095238095238096,0.2786147186147186,0.20908246645422468,0.26124629930956794,0.7651284005959242,0.009330624409693926,0.0035278646577604654,0.0035278646577604654,0.06085021909629951,0.3780952380952381,0.3780952380952381,4200,0.02,,,,,,
context_degradation,amputee_loso,9,uniform_mix_lambda=0.75,CD-margin tau=0.05,0.2792857142857143,0.4158441558441558,0.3034386998906055,0.4137512026333129,0.6971047859339541,0.0177289634222568,0.010650041598655692,0.010650041598655692,0.06085021909629951,0.6007142857142858,0.6007142857142858,4200,0.05,,,,,,
context_degradation,amputee_loso,9,uniform_mix_lambda=0.75,CD-margin tau=0.10,0.3314285714285714,0.5098701298701299,0.3698112942460442,0.5114349053042876,0.6634572762912074,0.027170957497578,0.019731290563717356,0.019731290563717356,0.06085021909629951,0.7261904761904762,0.7261904761904762,4200,0.1,,,,,,
context_degradation,amputee_loso,9,uniform_mix_lambda=0.75,CD-margin tau=0.20,0.3719047619047619,0.5807359307359307,0.41982388791344644,0.5828294211981164,0.6406466692079549,0.04122948561358134,0.03409285798475429,0.03409285798475429,0.06085021909629951,0.8269047619047619,0.8269047619047619,4200,0.2,,,,,,
context_degradation,amputee_loso,9,uniform_mix_lambda=0.75,CD-margin tau=0.50,0.39261904761904765,0.6187878787878788,0.44583066295681933,0.6202622075786178,0.5914225604190823,0.06455491671495052,0.05826849744437558,0.05826849744437558,0.06085021909629951,0.9026190476190477,0.9026190476190477,4200,0.5,,,,,,
