audit,split,fold_id,subject_id,model,accuracy,balanced_accuracy,macro_f1,active_macro_f1,nll,ece,brier,n
user_decoder_adequacy,all_subject_kfold,3,S016,extra_trees,0.48547619047619045,0.17086580086580086,0.15846619457349112,0.09956090224893145,1.842568145665356,0.18739539190188845,0.7293271015191559,4200
user_decoder_adequacy,all_subject_kfold,3,S020,extra_trees,0.534047619047619,0.25645021645021643,0.24854331731468052,0.1931972203604724,1.7273589919026369,0.2144640564170955,0.6892377641860863,4200
user_decoder_adequacy,all_subject_kfold,3,S023,extra_trees,0.475,0.19194805194805192,0.18599852890168814,0.13679800986154048,1.8720206162924293,0.19213821464463773,0.7506352570952606,4200
user_decoder_adequacy,all_subject_kfold,3,S029,extra_trees,0.4338095238095238,0.2054978354978355,0.1862821615879084,0.15319631003255382,1.9209000134573284,0.14500274377720918,0.7604155605957771,4200
user_decoder_adequacy,all_subject_kfold,3,S030,extra_trees,0.4919047619047619,0.22774891774891773,0.20274189832820635,0.14483924404393694,1.75313791674416,0.181422454340181,0.6942578176489111,4200
user_decoder_adequacy,all_subject_kfold,3,S111,extra_trees,0.33595238095238095,0.08212121212121212,0.07336936268897168,0.03422146263125846,2.136979881571209,0.04459954381002468,0.8278575444371509,4200
user_decoder_adequacy,all_subject_kfold,3,S113,extra_trees,0.5042857142857143,0.09870129870129869,0.0765588714020935,0.012344579135328982,1.7658334110112472,0.18155256894375799,0.6722507280135148,4200
context_prior_or_assist_ablation,all_subject_kfold,4,S010,object_prior_allclass,0.5,0.09090909090909091,0.0606060606060606,0.0,0.83017157903386,0.0008845105219173477,0.5483537423877048,4200
context_prior_or_assist_ablation,all_subject_kfold,4,S026,object_prior_allclass,0.5,0.09090909090909091,0.0606060606060606,0.0,0.8301715790338601,0.0008845105219174587,0.5483537423877048,4200
context_prior_or_assist_ablation,all_subject_kfold,4,S028,object_prior_allclass,0.5,0.09090909090909091,0.0606060606060606,0.0,0.83017157903386,0.0008845105219173477,0.5483537423877048,4200
context_prior_or_assist_ablation,all_subject_kfold,4,S031,object_prior_allclass,0.5,0.09090909090909091,0.0606060606060606,0.0,0.83017157903386,0.0008845105219173477,0.5483537423877048,4200
context_prior_or_assist_ablation,all_subject_kfold,4,S036,object_prior_allclass,0.5,0.09090909090909091,0.0606060606060606,0.0,0.83017157903386,0.0008845105219173477,0.5483537423877048,4200
context_prior_or_assist_ablation,all_subject_kfold,4,S037,object_prior_allclass,0.5,0.09090909090909091,0.0606060606060606,0.0,0.83017157903386,0.0008845105219173477,0.5483537423877048,4200
context_prior_or_assist_ablation,all_subject_kfold,4,S106,object_prior_allclass,0.5,0.09090909090909091,0.0606060606060606,0.0,0.83017157903386,0.0008845105219173477,0.5483537423877048,4200
