audit,split,fold_id,condition,policy,tau,accuracy,balanced_accuracy,macro_f1,active_macro_f1,risk_coverage_auc,mean_cdc,expected_cdc,mean_cdc_all,candidate_cdc_all,intervention_rate,changed_vs_user_rate,n_test,threshold,budget_type,budget,dev_budget_value,test_budget_value,test_budget_gap,pareto
context_degradation,all_subject_kfold,4,clean,CD-margin tau=1.00,1.0,0.5727248677248677,0.7988936988936988,0.6121761664752043,0.7727588487379392,0.33430975635257915,0.16664222350875074,0.13238798867639642,0.13238798867639642,0.13238798867639642,0.7944444444444444,0.7944444444444444,37800,,,,,,,True
prospective_threshold,all_subject_kfold,4,clean,ConfGate dev cdc<=0.02,,0.5216137566137566,0.4650553150553151,0.4213781980444894,0.4436930274893393,0.32854405531551106,0.1668316391064735,0.032051094264317743,0.032051094264317743,0.13238798867639642,0.19211640211640213,0.19211640211640213,37800,0.774309184478697,cdc,0.02,0.019535333554045343,0.032051094264317743,0.012051094264317743,True
prospective_threshold,all_subject_kfold,4,clean,ConfGate dev cdc<=0.05,,0.5606878306878307,0.6082202982202982,0.5070036192125849,0.5727962134887712,0.31120302675799416,0.16366528623443594,0.06020977434857318,0.06020977434857318,0.13238798867639642,0.36788359788359787,0.36788359788359787,37800,0.6451696129742037,cdc,0.05,0.04749713392208458,0.06020977434857318,0.010209774348573175,True
prospective_threshold,all_subject_kfold,4,clean,ConfGate dev intervention<=0.10,,0.4861640211640212,0.39341510341510344,0.3636250949169936,0.3718204063685812,0.36429157078284713,0.17538666497559896,0.023403448098860344,0.023403448098860344,0.13238798867639642,0.13343915343915344,0.13343915343915344,37800,0.8276045538167033,intervention,0.1,0.09207482993197279,0.13343915343915344,0.033439153439153435,True
prospective_threshold,all_subject_kfold,4,clean,ConfGate dev intervention<=0.25,,0.5465608465608466,0.5364309764309766,0.46918904358627456,0.5106325431665867,0.3139214588174578,0.16208817677141696,0.04375523163427351,0.04375523163427351,0.13238798867639642,0.26994708994708994,0.26994708994708994,37800,0.7156241111408103,intervention,0.25,0.2329251700680272,0.26994708994708994,0.019947089947089935,True
context_degradation,amputee_loso,0,clean,CD-margin tau=0.00,0.0,0.41595238095238096,0.14887445887445885,0.12601197412773024,0.06738259423524516,0.6246895781579684,0.0,0.0,0.0,0.008933979834741701,0.0,0.0,4200,,,,,,,True
context_degradation,amputee_loso,0,clean,CD-margin tau=0.01,0.01,0.5295238095238095,0.44147186147186146,0.4013106436180749,0.40351982341296044,0.4008164142973615,0.00569128981256352,0.001977045675364327,0.001977045675364327,0.008933979834741701,0.3473809523809524,0.3473809523809524,4200,,,,,,,True
context_degradation,amputee_loso,0,clean,CD-margin tau=0.02,0.02,0.5966666666666667,0.7221212121212122,0.5894821974453305,0.6857411495184238,0.31555836108413915,0.00987886986739351,0.006651772377378296,0.006651772377378296,0.008933979834741701,0.6733333333333333,0.6733333333333333,4200,,,,,,,True
context_degradation,amputee_loso,0,clean,CD-margin tau=0.05,0.05,0.625,0.7977922077922077,0.6417993183493017,0.7635283799274323,0.2938108006091122,0.011670799388280535,0.008894816390925238,0.008894816390925238,0.008933979834741701,0.7621428571428571,0.7621428571428571,4200,,,,,,,True
context_degradation,amputee_loso,0,clean,CD-margin tau=0.10,0.1,0.6254761904761905,0.7986580086580086,0.642616578779302,0.7646442579559711,0.29385343136397724,0.011711209521196989,0.008933979834741701,0.008933979834741701,0.008933979834741701,0.7628571428571429,0.7628571428571429,4200,,,,,,,True
