split,fold_id,calibration,branch,accuracy,balanced_accuracy,macro_f1,active_macro_f1,nll,ece,brier,temperature_user,temperature_assist,dirichlet_user_method,dirichlet_assist_method
amputee_loso,8,dirichlet_logreg,user,0.5019047619047619,0.0967099567099567,0.0714035964035964,0.010432190760059613,1.760051430946849,0.09200069628698354,0.6862789661353969,,,dirichlet_logreg,dirichlet_logreg
amputee_loso,8,dirichlet_logreg,assist,0.6607142857142857,0.5116883116883116,0.5602953685019737,0.5423933059115116,0.6596511807043322,0.04261647040486774,0.41279580119251796,,,dirichlet_logreg,dirichlet_logreg
amputee_loso,9,none,user,0.15857142857142856,0.0864935064935065,0.06842247829520108,0.048858553449170256,6.433151091150231,0.3420657789854661,1.1362282841200253,,,,
amputee_loso,9,none,assist,0.39261904761904765,0.6187878787878788,0.4463469307434025,0.6210431705073517,3.539741994603921,0.4264586400287701,0.9526516080964244,,,,
amputee_loso,9,scalar_temperature,user,0.15857142857142856,0.0864935064935065,0.06842247829520108,0.048858553449170256,2.531828707388943,0.1051459709325024,0.9317289246911478,9.999454646699947,2.2095279161756007,,
amputee_loso,9,scalar_temperature,assist,0.39261904761904765,0.6187878787878788,0.4463469307434025,0.6210431705073517,1.9298584711959166,0.288553446729252,0.797325686975234,9.999454646699947,2.2095279161756007,,
amputee_loso,9,dirichlet_logreg,user,0.29428571428571426,0.12012987012987014,0.10659350730230312,0.0681691744276073,5.222653438742051,0.3065656652908193,1.0529758015917374,,,dirichlet_logreg,dirichlet_logreg
amputee_loso,9,dirichlet_logreg,assist,0.4969047619047619,0.5422943722943723,0.4600333983620931,0.5435848858314123,1.6920486384916822,0.2259912721486928,0.6792978355180515,,,dirichlet_logreg,dirichlet_logreg
amputee_loso,10,none,user,0.23047619047619047,0.09177489177489177,0.09137047514910167,0.06717809761731991,2.5112743074568042,0.0402892470970637,0.9041327609002159,,,,
amputee_loso,10,none,assist,0.6007142857142858,0.7127272727272728,0.6067023087033894,0.7081512918328792,0.8843698507960337,0.15177410391802257,0.5347166069339144,,,,
amputee_loso,10,scalar_temperature,user,0.23047619047619047,0.09177489177489177,0.09137047514910167,0.06717809761731991,2.396418832605671,0.1314996490169085,0.9085260311544421,9.999606539279903,9.999457337363445,,
amputee_loso,10,scalar_temperature,assist,0.6007142857142858,0.7127272727272728,0.6067023087033894,0.7081512918328792,1.5035916203010098,0.3620819733092553,0.6893917416436551,9.999606539279903,9.999457337363445,,
amputee_loso,10,dirichlet_logreg,user,0.4611904761904762,0.09709956709956709,0.08175956241115755,0.02601144211840091,2.0916182181046126,0.2512564512017729,0.8269377439011686,,,dirichlet_logreg,dirichlet_logreg
amputee_loso,10,dirichlet_logreg,assist,0.6071428571428571,0.36324675324675326,0.41389115401862947,0.3757036673080448,0.9479444189294352,0.11779548749419508,0.53651584448913,,,dirichlet_logreg,dirichlet_logreg
amputee_loso,11,none,user,0.43214285714285716,0.16194805194805195,0.14577345393476424,0.08623772568249616,2.204338544864296,0.2855757277322347,0.8597280053093788,,,,
amputee_loso,11,none,assist,0.5092857142857142,0.7748051948051948,0.565535995041449,0.759739401894565,1.1229573285743126,0.26654816748552246,0.6740032966213299,,,,
amputee_loso,11,scalar_temperature,user,0.43214285714285716,0.16194805194805195,0.14577345393476424,0.08623772568249616,2.347203819291035,0.3297506040705664,0.8996309844922827,9.999495298303124,3.565740914307023,,
amputee_loso,11,scalar_temperature,assist,0.5092857142857142,0.7748051948051948,0.565535995041449,0.759739401894565,0.9656114468054362,0.05191965178797679,0.5419809174415896,9.999495298303124,3.565740914307023,,
amputee_loso,11,dirichlet_logreg,user,0.5083333333333333,0.10800865800865801,0.08378576669344248,0.02003786031863121,1.7113705186698902,0.13362741584389193,0.6677630052385417,,,dirichlet_logreg,dirichlet_logreg
amputee_loso,11,dirichlet_logreg,assist,0.6861904761904762,0.49917748917748916,0.5768975665784377,0.5381609042096204,0.662920398486798,0.05322613776178839,0.41048229459934754,,,dirichlet_logreg,dirichlet_logreg
amputee_loso,12,none,user,0.508095238095238,0.14147186147186147,0.13588772642153674,0.06653726465146761,2.110743277251817,0.3189329827707294,0.826573448759157,,,,
amputee_loso,12,none,assist,0.38261904761904764,0.5998268398268398,0.46050391257307893,0.6583068793732857,1.537632068833311,0.35957047373060963,0.8414043416328633,,,,
amputee_loso,12,scalar_temperature,user,0.508095238095238,0.14147186147186147,0.13588772642153674,0.06653726465146761,2.359110102871636,0.40915331331748234,0.9017211642080462,9.99958893787732,9.999442575049263,,
amputee_loso,12,scalar_temperature,assist,0.38261904761904764,0.5998268398268398,0.46050391257307893,0.6583068793732857,1.5503348343474501,0.1401537010197597,0.7115013193800093,9.99958893787732,9.999442575049263,,
